,自我介绍,人数,人员构成,城市,昵称,pep_num,pep_composition,city_name,nickname
24,明天两焊工找活，找活，电焊二氧氩弧焊，工具齐全带证带车，包工天工都行,2.0,班组,天津,先生,1,个人,,先生
25,需要钢筋工老板联系本人疫情原因好久没上班了联系电话,1.0,个人,四川省,先生,1,个人,,先生
26,今晚夜班钢筋工还有12人 用人致电,12.0,班组,河北省,先生,12,班组,,先生
27,钻孔切割拆除。各种工程孔，桥梁孔地铁孔，大孔，深孔，空调孔，打排烟排气孔，各种上下水孔，电缆孔，螺栓孔，混泥土切割拆除,,班组,河南省,先生,1,个人,,先生
28,承接各种地坪工程:环氧自流平地坪，防静电地坪，超耐磨地坪，复古地坪，硬化地坪，水泥自流平找平垫层和面层。防滑坡道，旧地坪翻新，无尘车间，净化车间，各种画线…装修公司长期合作感谢群主提供平台,,班组,天津,先生,1,个人,甘肃省,先生
29,找活！我们是泥瓦工班组，以做点工为主，有围墙地基础砖，室内毛墙包工点工都可以。做生活区临建，沙井水沟修补杂活室内做砖批灰都可以。本班组干活踏实喜爱加班。有的在江西，有的在广东，还有的在河南驻马店老家。有广东江西工地的公司和老板优先进场。只要是基础，围墙活大小都能诚接！当天能上人！,15.0,班组,"广东省,江西省",先生,,班组,江西省,先生
30,《专业剔凿》粗毛、细毛、涨模、打攒、爆模、爆破、开门，开窗，积灰、破碎、各种混泥土凝固破碎……………《人员年轻》联系电话 微信同号 《承接各地剔凿活,,班组,山东省,先生,,班组,,先生
31,小马。专业。拆除。砸墙，抠地面儿。开门口，窗户口。大锯切割。扣线槽。上下水儿。扒平方。拆厂房。砸楼梯。扣水泥柱子。土建承包。各种拆除。电话，微信同步,,班组,天津,马先生,1,个人,,小马
32,京津冀。雄安新区，保定地区，用人老板请联系诚信架子工突击队人员充足，钢挑架。爬架，吊架，接受您来随时骚扰，电话人员齐全，带有核酸，诚信架子工突击队，价格公道，绝对不高，找活,80.0,班组,"河北省,天津,北京",先生,,班组,河北省,先生
33,木工找活 深圳明天有十个木工师傅结账都带电动板手楼梯图纸都懂有用人的老板劳务电话我，只限广东省深圳周边的最好,10.0,班组,深圳市,先生,10,班组,广东省,先生
34,天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，,80.0,班组,天津,郭师傅,,班组,天津市,先生
35,我队现有15名泥工师傅精通于：砌加气块，基坑砖，空心砖，内外粉墙 修补，铺透水砖 路边石，打地坪，二次结构打灰等20名精干男小工主要做：砸墙，拆除，上料，平整场地， 清理方木，摆钢管， 平土， 干杂活 ，清垃圾 ，打扫楼梯，挖土， 抬钢筋 ， 推灰，运砖，上加气块，装车，园林绿化等！队员年轻！干活积极，听话！能帮助各位老板抢工期，排忧解难！白天 晚上都有人.随时接单. 24小时热线☎（微信同号）郑州及周边有用人的老板请打电话谢谢群主提供的平台,15.0,班组,河南省,先生,20,班组,河南省,先生
36,现在有一车钢筋工人在济宁有用人的老板或伙伴请联系我,7.0,班组,济宁市,王先生,1,个人,山东省,先生
37,诚信大部队年轻架子工找明天的活用人的老板请联系,,班组,,先生,,班组,,先生
38,找活！平顶山，叶县，襄县附近！专业架子工突击队！平顶山附近方园百里都可以去！包工优先，欢迎与各位合作共赢！电话微信同号！,,班组,河南,先生,,班组,河南省,先生
39,山东专业架子工 ，专业突击内架 外架 满堂红，队伍年轻，活好，活快，有活的老板联系: 小孟！,,班组,山东,孟先生,,班组,山东省,小孟
40,北京现在本人还剩40多个专业干外墙岩棉，外墙旧楼，新旧，吊篮，架子都可以，岩棉，挤塑板都行，有活的老板联系我随时可以上人，都在北京14天了，都有48小时核酸.,40.0,班组,北京,先生,14,班组,北京市,先生
41,今晚夜班钢筋工前后台还有十几人用人老板同行致电,15.0,班组,,先生,15,班组,,先生
42,石家庄东北二环现在有3人钢筋好手,3.0,班组,河北,先生,3,班组,河北省,先生
43,石家庄市里还有2个钢筋工找活！用人给我打电话,2.0,班组,河北,先生,2,班组,河北省,先生
44,明天还有，钢筋工一车有用的联系我,,班组,河北,先生,1,个人,,先生
45,明天还有一车钢筋好手用人的老板请联系,,班组,河北,先生,1,个人,,先生
46,明天下来1车钢筋熟手用人说话,,班组,河北,先生,1,个人,,先生
47,明天市里还有3个钢筋工好手有需要的联系我,3.0,班组,河北,先生,3,班组,,先生
48,明天还有一车钢筋工好手，用人老板请联系,,班组,河北,先生,1,个人,,先生
49,接钢筋翻样，钢筋算量，模板算量，月薪，包平米基础住现场，排布图，料单清晰易懂。有翻样外包的老板，翻样忙不过来的，价格从优。期待与您的合作，微信，手机同号，,,班组,河北,先生,1,个人,甘肃省,先生
50,专业承包风电基础劳务，钢筋制作与绑扎，混凝土浇筑，刚刚下来一伙人，有活的老总联系我，,,班组,河北,先生,,班组,,先生
51,明天10个钢筋工精英团队找活，财富热线,10.0,班组,河北,先生,10,班组,,先生
52,明天车闲钢筋工带干活用的朋友请联系,,班组,河北,先生,,班组,,先生
53,"贵州专钢筋工突击团队！承接（浙江——上海——江苏）本团队目前人在杭州！白班连夜班皆可
人员充足、踏实能干！服从管理安排！出活速度快可包可点白班夜班皆可！承接各种钢筋工程！欢迎各位老板来电！",,班组,杭州市,先生,,班组,贵州省,先生
54,专业承包风电基础劳务，钢筋制作与绑扎，混凝土浇筑，刚刚下来一伙人，有活的老总联系我，,,班组,,先生,,班组,,先生
55,钢筋绑扎有8到10人找活有需要的老板联系我们是专业绑扎的,,班组,,先生,8,班组,,先生
56,哪位老板有标准层，成都周边，随时都可以进场。钢筋工暗号 小代,1.0,个人,四川省,先生,1,个人,四川省,先生
57,内蒙古，那个老板要长年干主工地的钢筋工，,1.0,个人,内蒙,先生,1,个人,内蒙古,先生
58,"本人承接远程翻样（抽料 扒料），钢筋算量，排布图，料单清晰易懂。有翻样外包的老板，翻样忙不过来的联系我，一单一结，价格合理 承接地库人防 主体包面 二次结构 本团队清一色年轻队伍,欢迎有实力老板前来详谈可以长期住工地。承接江西周边工程",,班组,江西市,先生,,班组,江西省,先生
59,专业电工找活，4—多人，穿线，做管，桥架，配电箱，配电柜，家装，工装，可包可点，白班夜班钧可。只限北京，电话微信同步:,4.0,班组,北京,先生,4,班组,北京市,先生
60,水电工团队找活 ⚡️商场 办公楼 安装及改造、水暖：给排水、 地埋管 、暖气 、消防 、喷淋 、气体灭火 、风机盘管、新风机组 、电气：配明管 、穿线 、安装桥架 、后期安装、可包可点、工具齐全、人员充足 （限北京地区）介绍活茶水丰厚 (诚信合作 微信同步)本信息长期有效！,,班组,北京,张先生,,班组,北京市,先生
61,专业水电工找活，人在昌平天通苑，有证，可包可点，干活认真负责，白班夜班都可以，钱痛快的优先,1.0,个人,北京,先生,1,个人,北京市,先生
62,有证电工团队专干夜班活，白班也可以，商场办公楼，做管穿线，安装灯具，线路维修，做桥架，各种零活，日结优先，钱痛快的老板联系我只限北京☎️张微信同号,,班组,北京,张先生,,班组,北京市,先生
63,电工团队承接！穿线安装！明配管，电缆！桥架 二次配管！工装！厂房！以质量求生存，以信誉求发展！（微信电话同步）为了各位老板、领导的燃眉之急本电话长期。 承接室内装潢和主体预埋，稳盒，二次配管，装户箱，穿线绳，排堵，桥架，JDG明配管。穿线、焊锡、#装灯具装面板，装电表，放电缆、压箱柜，家装、工装、商装、厂房、旧楼改造、亮化工程、夜间抢活等等，一切电工活，包工优先。日工也可，低于市场价勿扰！,,班组,,先生,,班组,,先生
64,山东青岛水电工找活可包可点,1.0,个人,青岛市,先生,1,个人,山东省,先生
65,有证电工团队专干夜班活，白班也可以，只限北京，商场办公楼，做管穿线，安装灯具，线路维修，做桥架，各种零活，日结优先，钱痛快的老板联系我,,班组,北京,先生,,班组,北京市,先生
66,专业家装水电，维修，安装开关插座，修改下水，价格优惠，需要的老板联系同微信,1.0,个人,,先生,1,个人,,先生
67,河南省内专业水电开槽打孔工具自带，诚信第一质量保证，量大从优钱有保障的老板联系我随时可上人微信同号，家装勿扰,,班组,河南,先生,1,个人,河南省,先生
68,"人找活：装修水电工2－4人，需要的联系王工
微信同步",3.0,班组,,王先生,4,班组,江西省,先生
69,专业水电团队、专业工装水电团队、施工经验丰富（办公楼、商铺、饭店、学校，银行、商场、桥架安装、T接、配电柜压线、住宅楼穿线上面板）、工具齐全、可随时上人、施工保证质量、有需要的联系、服务于京津冀以及周边、介绍活的给提成、谢谢,,班组,京津冀,先生,,班组,,先生
70,水电工团队找活 ⚡️商场 办公楼 安装及改造、水暖：给排水、 地埋管 、暖气 、消防 、喷淋 、气体灭火 、风机盘管、新风机组 、电气：配明管 、穿线 、安装桥架 、后期安装、可包可点、工具齐全、人员充足 （限北京地区）介绍活茶水丰厚 ☎️  张 (诚信合作 微信同步,,班组,北京,张先生,,班组,北京市,先生
71,专业承接/标书、设计出图/预结算/装饰、水电、暖通、土建、钢结构全专业/物业街道建委备案/竣工资料，需要联系 ️ 张工,,班组,,张先生,1,个人,,先生
72,北京水电工突击队刚下来15/人电工10位水工5位，自带工具，结账痛快的老板联系，欢迎咨询/,15.0,班组,北京,先生,15,班组,北京市,先生
73,江苏盐城水电安装团队，以强电为主，后期安装，桥架，配管，穿线，放电缆，压箱子，上面板 有二十多人有需要的老板联系：,25.0,班组,盐城,先生,25,班组,江苏省,先生
74,雄安新区有十几个钢筋工，几个力工，七八个木工找活，要求下班结账，联系电话同微信。,23.0,班组,雄安新区,先生,8,班组,河北省,先生
75,大家好，本人专业承接家装小工装，吊顶，做柜子，隔墙，石膏板造型顶活好，速度快，做工细，价格从优，有意老板电我，以质量求生存，靠诚信求发展，多年木工经验，限合肥范围内。感谢群主提供平台！,1.0,个人,,先生,1,个人,安徽省,先生
76,徐州铜山区小别墅钢木化，木工带材料，大清包找有实力的老板,,班组,徐州,先生,1,个人,江苏省,先生
77,专业承接：家装 木工，水电，厂房办公楼轻钢龙骨隔断，吊顶，开关插座，灯具洁具，壁纸，硅藻泥，有需要的联系,,班组,天津,先生,1,个人,,先生
78,本人焊工活以结束，会手把二保，横焊，立焊，仰焊，多层多道焊接，可过2级探伤。，等离子，气割。各种各样的铁艺，可承接，可天工。人在乌鲁木齐新市区三宫六队，专业团队，听您的安排，诚信老板致电，小陈焊工。微信同号，,1.0,个人,乌鲁木齐,陈先生,,班组,新疆,小陈
79,人找活，在东莞，需要钢构电焊工的联系我 有几个人同微信,,班组,东莞,先生,5,班组,广东省,先生
80,电气焊 二保焊 能上高有用人的老板联系我随时恭候你的电话,1.0,个人,,先生,1,个人,江西省,先生
81,小孙专业突击队，北京全区接单 人员充足 工种齐全，白班夜班均可 钢筋工，木工 架子工，电焊工，打灰，瓦工，小工清理导料，麻料，文明施工，打扫卫生，有需要的老板请联系,,班组,北京,孙先生,,班组,北京市,小孙
82,浩雨水电突击帮工团队电话:前期预埋有30人（有焊工，自带焊机），后期有80人， 小工30人，（工具自带）（百人团队）承接范围:（郑州以及附近周边）承接内容:现主要承接前期预埋，后期二次配管，疏通排堵，后期穿线装灯穿引线，配盘芯，做桥架，压电缆，，上下水，给排水， 压力排水，消防水，等一切水电活。郑重承诺！ 人员年轻，服从管理！价格合理，质量可靠。（可包可点）（付款方式可谈）欢迎致电咨询:电话微信同号 老板们请存留电话，加个微信，（以备急用）（如有打扰，敬请谅解）团队承诺：2小时内如发现哪个工人干活不行，直接撵走，分文不取。,30.0,班组,郑州,先生,30,班组,河南省,先生
83,恒利水电帮工团队承接范围：郑州，新密，荥阳，上街，中牟，港区，新郑，周边地区现有人员前期加后期80人左右。工作内容: 前期预埋{有焊工}。旧楼改造。二次配管。疏通排堵。维修。穿线。装灯。穿引线。装面板。桥架，压箱心。地库装电棒。压力排水。放电缆。压电缆头。等一切消防水电活。人员年轻。服从管理。价格合理。质量可靠。一次合作终身朋友，需要帮忙的老板，请提前一天联系。手机号码微信同号【请加微信以后备用欢迎致电：团队承诺：2小时内如发现哪个工人干活不行，直接撵走，分文不取,80.0,班组,河南省,先生,80,班组,河南省,先生
84,本人专业内墙抹灰长期在碧桂园干有需要的老板可以联系我限广西微信同号,1.0,个人,广西省,先生,1,个人,,先生
85,找珠三角套房工区墙地砖活 周,1.0,个人,珠三角,周先生,1,个人,,先生
86,二次结构木工找活，6个人随时可以进场，行程码不带星号。陈师傅。此信息长期有效。请说在建筑用工平台看见的。,6.0,班组,,陈先生,6,班组,,陈师傅
87,现有4人找内外墙拉毛挂网可以马上进场开工有需要的老板请来电微信同号方量越大越好,4.0,班组,,先生,4,班组,,先生
88,专业上材料，ALC格墙板，泡沫砖，地板砖，拉成品砂浆，内外墙，有介绍量大给三仟红包，只做包工，自带工具地方不限要求量大，随时可以进，如有需要的老板联系:杨,,班组,,杨先生,1,个人,,杨
89,小工找活，专业上材料，ALC格墙板，泡沫砖，地板砖，拉成品砂浆，内外墙，只做包工，自带工具地方不限要求量大，随时可以进，如有需要的老板联系杨,1.0,个人,,杨先生,1,个人,,杨
90,哪个老板需要用架子工人的提前联系，我人员年轻干活安全，搭架子，保质量，单价靠谱，欢迎各位老总，老板的来电一起合作永久朋友，包工点工都可以，合作愉快，共同发财，人在郑州找活,,班组,郑州市,先生,,班组,甘肃省,先生
91,电工团队找活，强弱电，上下水，焊工，有证，做管，穿线，桥架，线路维修，灯具安装，电箱，配电柜，经验丰富，工作认真，需要人的联系，    北京,,班组,北京,先生,,班组,北京市,先生
92,电工找活，在大兴住，有电工证，做管穿线，装灯，都可以。有需要人的老板请联系,,班组,北京,先生,1,个人,北京市,先生
93,"电工一人到多人找活，安装穿线配管都可以，工装家装都行 
  北京",1.0,个人,北京,先生,1,个人,北京市,先生
94,明天还有6个木工，找活  石家庄,6.0,班组,石家庄市,先生,6,班组,河北省,先生
95,找活：专业切空鼓团队，借贵平台找切空鼓的活，自带工具，最好是包工，广东省内都可以，人在惠州陈江，有需要的老板来电大量从优，微信同步,,班组,惠州市,先生,,班组,广东省,先生
96,明天没雨明了，天找活，我有五个内外架师傅，有需要帮忙的联系方式。 福建架子工,5.0,班组,福建省,先生,5,班组,福建省,先生
97,本团队现有10个木工包工人员找活；寻找大面积车库及厂房；限山东，河北范围及区县；需要木工包工人员的老总欢迎来电合作：联系电话：,10.0,班组,山东省,先生,10,班组,山东省,先生
98,下午找活，电焊二保氩弧焊  天津滨海,1.0,个人,天津,先生,1,个人,天津市,先生
99,电焊工找活儿 山东济南,1.0,个人,济南市,先生,1,个人,山东省,先生
100,水工找活，人在北京，电话,1.0,个人,北京,先生,1,个人,北京市,先生
101,电工找活，人在大兴天宫院住电话,1.0,个人,北京,先生,1,个人,北京市,先生
102,找活，找活？山东境内 专业拆木模，模壳，高低楼都可以，，拆内架，人年轻能干，价格合理，可包可点，要求钱快，欢迎各位老板来电：田,,班组,山东省,田先生,1,个人,山东省,先生
103,焊工2人找活~有证~人在昌平区小汤山，用人老板联系：,2.0,班组,北京,先生,2,班组,北京市,先生
104,有一到五人小工找活年轻力壮 山东菏泽,5.0,班组,菏泽市,先生,5,班组,山东省,先生
105,明天还有14个爬架工，住工地都可以需要的老板联系,14.0,班组,郑州市,先生,14,班组,,先生
106,找活，明天龙湖岀发一个小工带辆七座车，有需要的请联系,1.0,个人,郑州市,先生,1,个人,广东省,先生
