,工种_pred,自我介绍,工种_true
17,,明天四五个人到十人找活。包工优先。都是老手。要求日结。,-- || -- || 钢筋工/绑扎/翻样/后台
18,空调/管道/通风/管网 || 市政/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 焊工/铆工/钣金/钳工 || 污水处理 || 加固/防护/护坡/边坡 || 弱电/消防/水暖/开槽/通风 || 道路/公路/铁路 || 焊工,焊工找活:主焊管道，空调，焊接，消防，机房等。焊口补漏。 钢结构，气割、等离子，加固、等等、有需要的老板联系,-- || 钢结构/打板/不锈钢/抗震支架 || 焊工
19,,专业团队60人找建筑工程设计，招投标预结算，图纸盖章，备案的活。 如有需要的老板及时联系： 陈工,设计师/竣工图 || 招投标人员 || 建筑管理/九大员
20,电工 || 空调/管道/通风/管网 || 水电工/电工 || 弱电/消防/水暖/开槽/通风 || 亮化/市政照明,找活：强电消防电人员3人，做明管，穿线，做桥架，自动报警后期调试，🉑 包🉑 卯，具体详谈，黑龙江地区均可 微信同步，多谢转发,-- || 水电工/电工 || 弱电/消防/水暖/开槽/通风
21,空调/管道/通风/管网 || 水电工/电工,水电工2人，有证，找活，工具齐全，，工装，可包，点工，都行，人在北京大兴黄村，需要用人，加微信或者，联系电话,-- || -- || 水电工/电工
22,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,找活，我就是一个人，在工地上上班，在广东湛江打工，在工地上做小工，就是吃苦打工，上高也行，在路地上干活也行，活累点也行,-- || -- || 小工/杂工/拆除工/打磨/学徒
23,外墙/吊篮/保温/高空作业 || 油漆/涂料/腻子/大白/喷漆,专业外墙保温工人找活； 专业保温，涂料油工30多人 新楼，旧楼，保温，涂料，真石漆，大活小活全能拿下。外墙保温涂料全活，可包可点。有活的老板请联系，微信电话☎️ 同步，注（疫情期间，因为人员比较多，出京比较麻烦，所以只限北京区域）,-- || -- || 油漆/涂料/腻子/大白/喷漆
24,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,明天两焊工找活，找活，电焊二氧氩弧焊，工具齐全带证带车，包工天工都行,-- || -- || 焊工
25,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,需要钢筋工老板联系本人疫情原因好久没上班了联系电话,-- || -- || 钢筋工/绑扎/翻样/后台
26,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,今晚夜班钢筋工还有12人 用人致电,-- || -- || 钢筋工/绑扎/翻样/后台
27,桥梁 || 空调/管道/通风/管网 || 爆破 || 弱电/消防/水暖/开槽/通风,钻孔切割拆除。各种工程孔，桥梁孔地铁孔，大孔，深孔，空调孔，打排烟排气孔，各种上下水孔，电缆孔，螺栓孔，混泥土切割拆除,-- || 钻工/炮工/矿工/喷浆手/爆破 || 小工/杂工/拆除工/打磨/学徒
28,地坪/自流平/固化,承接各种地坪工程:环氧自流平地坪，防静电地坪，超耐磨地坪，复古地坪，硬化地坪，水泥自流平找平垫层和面层。防滑坡道，旧地坪翻新，无尘车间，净化车间，各种画线…装修公司长期合作感谢群主提供平台,-- || -- || 地坪/自流平/固化
29,瓦工/砌砖,找活！我们是泥瓦工班组，以做点工为主，有围墙地基础砖，室内毛墙包工点工都可以。做生活区临建，沙井水沟修补杂活室内做砖批灰都可以。本班组干活踏实喜爱加班。有的在江西，有的在广东，还有的在河南驻马店老家。有广东江西工地的公司和老板优先进场。只要是基础，围墙活大小都能诚接！当天能上人！,-- || 地基处理 || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
30,钻工/炮工/矿工/喷浆手/爆破 || 混凝土/打爆模/拉毛挂网 || 爆破,《专业剔凿》粗毛、细毛、涨模、打攒、爆模、爆破、开门，开窗，积灰、破碎、各种混泥土凝固破碎……………《人员年轻》联系电话 微信同号 《承接各地剔凿活,-- || 混凝土/打爆模/拉毛挂网 || 钻工/炮工/矿工/喷浆手/爆破
31,土建承包 || 壮工/零工 || 爆破,小马。专业。拆除。砸墙，抠地面儿。开门口，窗户口。大锯切割。扣线槽。上下水儿。扒平方。拆厂房。砸楼梯。扣水泥柱子。土建承包。各种拆除。电话，微信同步,-- || -- || 小工/杂工/拆除工/打磨/学徒
32,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,京津冀。雄安新区，保定地区，用人老板请联系诚信架子工突击队人员充足，钢挑架。爬架，吊架，接受您来随时骚扰，电话人员齐全，带有核酸，诚信架子工突击队，价格公道，绝对不高，找活,-- || -- || 架子工/爬架/拆架
33,,木工找活 深圳明天有十个木工师傅结账都带电动板手楼梯图纸都懂有用人的老板劳务电话我，只限广东省深圳周边的最好,-- || -- || 建筑木工/铝模/拆模/二次结构
34,普工 || 桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 钢筋工/加工/后台/翻样工 || 学徒工 || 架子工/爬架/拆架,天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，,装修木工/家具/吊顶/地板 || 瓦工/泥工/抹灰/砌砖/贴砖/美缝 || 钢筋工/绑扎/翻样/后台
35,泥工/抹灰 || 普工 || 桥梁 || 壮工/零工 || 搬运工 || 隧道/涵洞 || 包装工 || 加固/防护/护坡/边坡 || 小工/杂工/拆除工/打磨/学徒 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 绿化/园林/景观设计 || 钢筋工/加工/后台/翻样工 || 学徒工 || 混凝土/打爆模/拉毛挂网,我队现有15名泥工师傅精通于：砌加气块，基坑砖，空心砖，内外粉墙 修补，铺透水砖 路边石，打地坪，二次结构打灰等20名精干男小工主要做：砸墙，拆除，上料，平整场地， 清理方木，摆钢管， 平土， 干杂活 ，清垃圾 ，打扫楼梯，挖土， 抬钢筋 ， 推灰，运砖，上加气块，装车，园林绿化等！队员年轻！干活积极，听话！能帮助各位老板抢工期，排忧解难！白天 晚上都有人.随时接单. 24小时热线☎（微信同号）郑州及周边有用人的老板请打电话谢谢群主提供的平台,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
36,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,现在有一车钢筋工人在济宁有用人的老板或伙伴请联系我,-- || -- || 钢筋工/绑扎/翻样/后台
37,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,诚信大部队年轻架子工找明天的活用人的老板请联系,-- || -- || 架子工/爬架/拆架
38,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,找活！平顶山，叶县，襄县附近！专业架子工突击队！平顶山附近方园百里都可以去！包工优先，欢迎与各位合作共赢！电话微信同号！,-- || -- || 架子工/爬架/拆架
39,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,山东专业架子工 ，专业突击内架 外架 满堂红，队伍年轻，活好，活快，有活的老板联系: 小孟！,-- || -- || 架子工/爬架/拆架
40,外墙/吊篮/保温/高空作业,北京现在本人还剩40多个专业干外墙岩棉，外墙旧楼，新旧，吊篮，架子都可以，岩棉，挤塑板都行，有活的老板联系我随时可以上人，都在北京14天了，都有48小时核酸.,-- || -- || 架子工/爬架/拆架
41,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,今晚夜班钢筋工前后台还有十几人用人老板同行致电,-- || -- || 钢筋工/绑扎/翻样/后台
42,钢筋工/加工/后台/翻样工 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台,石家庄东北二环现在有3人钢筋好手,-- || -- || 钢筋工/绑扎/翻样/后台
43,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,石家庄市里还有2个钢筋工找活！用人给我打电话,-- || -- || 钢筋工/绑扎/翻样/后台
44,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,明天还有，钢筋工一车有用的联系我,-- || -- || 钢筋工/绑扎/翻样/后台
45,钢筋工/加工/后台/翻样工 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台,明天还有一车钢筋好手用人的老板请联系,-- || -- || 钢筋工/绑扎/翻样/后台
46,钢筋工/加工/后台/翻样工 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台,明天下来1车钢筋熟手用人说话,-- || -- || 钢筋工/绑扎/翻样/后台
47,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,明天市里还有3个钢筋工好手有需要的联系我,-- || -- || 钢筋工/绑扎/翻样/后台
48,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,明天还有一车钢筋工好手，用人老板请联系,-- || -- || 钢筋工/绑扎/翻样/后台
49,钢筋工/加工/后台/翻样工 || 建筑木工/铝模/拆模/二次结构 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台 || 混凝土/打爆模/拉毛挂网,接钢筋翻样，钢筋算量，模板算量，月薪，包平米基础住现场，排布图，料单清晰易懂。有翻样外包的老板，翻样忙不过来的，价格从优。期待与您的合作，微信，手机同号，,-- || -- || 钢筋工/绑扎/翻样/后台
50,建筑木工/铝模/拆模/二次结构 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台 || 混凝土/打爆模/拉毛挂网,专业承包风电基础劳务，钢筋制作与绑扎，混凝土浇筑，刚刚下来一伙人，有活的老总联系我，,-- || -- || 钢筋工/绑扎/翻样/后台
51,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,明天10个钢筋工精英团队找活，财富热线,-- || -- || 钢筋工/绑扎/翻样/后台
52,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,明天车闲钢筋工带干活用的朋友请联系,-- || -- || 钢筋工/绑扎/翻样/后台
53,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,"贵州专钢筋工突击团队！承接（浙江——上海——江苏）本团队目前人在杭州！白班连夜班皆可
人员充足、踏实能干！服从管理安排！出活速度快可包可点白班夜班皆可！承接各种钢筋工程！欢迎各位老板来电！",-- || -- || 钢筋工/绑扎/翻样/后台
54,建筑木工/铝模/拆模/二次结构 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台 || 混凝土/打爆模/拉毛挂网,专业承包风电基础劳务，钢筋制作与绑扎，混凝土浇筑，刚刚下来一伙人，有活的老总联系我，,-- || -- || 钢筋工/绑扎/翻样/后台
55,桥梁 || 灌注桩钢筋工 || 钢筋工/绑扎/前台 || 隧道/涵洞,钢筋绑扎有8到10人找活有需要的老板联系我们是专业绑扎的,-- || -- || 钢筋工/绑扎/翻样/后台
56,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,哪位老板有标准层，成都周边，随时都可以进场。钢筋工暗号 小代,-- || -- || 钢筋工/绑扎/翻样/后台
57,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 钢筋工/加工/后台/翻样工,内蒙古，那个老板要长年干主工地的钢筋工，,-- || -- || 钢筋工/绑扎/翻样/后台
58,钢筋工/加工/后台/翻样工 || 桥梁 || 隧道/涵洞 || 灌注桩钢筋工 || 钢筋工/绑扎/前台,"本人承接远程翻样（抽料 扒料），钢筋算量，排布图，料单清晰易懂。有翻样外包的老板，翻样忙不过来的联系我，一单一结，价格合理 承接地库人防 主体包面 二次结构 本团队清一色年轻队伍,欢迎有实力老板前来详谈可以长期住工地。承接江西周边工程",-- || -- || 钢筋工/绑扎/翻样/后台
59,亮化/市政照明 || 水电工/电工 || 电工,专业电工找活，4—多人，穿线，做管，桥架，配电箱，配电柜，家装，工装，可包可点，白班夜班钧可。只限北京，电话微信同步:,-- || -- || 水电工/电工
60,电工 || 空调/管道/通风/管网 || 水电工/电工 || 弱电/消防/水暖/开槽/通风 || 亮化/市政照明,水电工团队找活 ⚡️商场 办公楼 安装及改造、水暖：给排水、 地埋管 、暖气 、消防 、喷淋 、气体灭火 、风机盘管、新风机组 、电气：配明管 、穿线 、安装桥架 、后期安装、可包可点、工具齐全、人员充足 （限北京地区）介绍活茶水丰厚 (诚信合作 微信同步)本信息长期有效！,-- || -- || 水电工/电工
61,空调/管道/通风/管网 || 水电工/电工,专业水电工找活，人在昌平天通苑，有证，可包可点，干活认真负责，白班夜班都可以，钱痛快的优先,-- || -- || 水电工/电工
62,塔吊/吊车司机/信号工/维修 || 挖机/钩机/维修 || 水电工/电工 || 吊篮安拆工/维修工 || 电工 || 亮化/市政照明 || 电梯/升降机司机/安装/维修,有证电工团队专干夜班活，白班也可以，商场办公楼，做管穿线，安装灯具，线路维修，做桥架，各种零活，日结优先，钱痛快的老板联系我只限北京☎️张微信同号,-- || -- || 水电工/电工
63,亮化/市政照明 || 小工/杂工/拆除工/打磨/学徒 || 水电工/电工 || 电工,电工团队承接！穿线安装！明配管，电缆！桥架 二次配管！工装！厂房！以质量求生存，以信誉求发展！（微信电话同步）为了各位老板、领导的燃眉之急本电话长期。 承接室内装潢和主体预埋，稳盒，二次配管，装户箱，穿线绳，排堵，桥架，JDG明配管。穿线、焊锡、#装灯具装面板，装电表，放电缆、压箱柜，家装、工装、商装、厂房、旧楼改造、亮化工程、夜间抢活等等，一切电工活，包工优先。日工也可，低于市场价勿扰！,-- || -- || 水电工/电工
64,空调/管道/通风/管网 || 水电工/电工,山东青岛水电工找活可包可点,-- || -- || 水电工/电工
65,塔吊/吊车司机/信号工/维修 || 挖机/钩机/维修 || 水电工/电工 || 吊篮安拆工/维修工 || 电工 || 亮化/市政照明 || 电梯/升降机司机/安装/维修,有证电工团队专干夜班活，白班也可以，只限北京，商场办公楼，做管穿线，安装灯具，线路维修，做桥架，各种零活，日结优先，钱痛快的老板联系我,-- || -- || 水电工/电工
66,塔吊/吊车司机/信号工/维修 || 空调/管道/通风/管网 || 挖机/钩机/维修 || 水电工/电工 || 吊篮安拆工/维修工 || 电梯/升降机司机/安装/维修,专业家装水电，维修，安装开关插座，修改下水，价格优惠，需要的老板联系同微信,-- || -- || 水电工/电工
67,空调/管道/通风/管网 || 水电工/电工 || 土石方 || 小工/杂工/拆除工/打磨/学徒 || 弱电/消防/水暖/开槽/通风,河南省内专业水电开槽打孔工具自带，诚信第一质量保证，量大从优钱有保障的老板联系我随时可上人微信同号，家装勿扰,-- || -- || 水电工/电工
68,空调/管道/通风/管网 || 水电工/电工,"人找活：装修水电工2－4人，需要的联系王工
微信同步",-- || -- || 水电工/电工
69,亮化/市政照明 || 电工 || 空调/管道/通风/管网 || 水电工/电工,专业水电团队、专业工装水电团队、施工经验丰富（办公楼、商铺、饭店、学校，银行、商场、桥架安装、T接、配电柜压线、住宅楼穿线上面板）、工具齐全、可随时上人、施工保证质量、有需要的联系、服务于京津冀以及周边、介绍活的给提成、谢谢,-- || -- || 水电工/电工
70,电工 || 空调/管道/通风/管网 || 水电工/电工 || 弱电/消防/水暖/开槽/通风 || 亮化/市政照明,水电工团队找活 ⚡️商场 办公楼 安装及改造、水暖：给排水、 地埋管 、暖气 、消防 、喷淋 、气体灭火 、风机盘管、新风机组 、电气：配明管 、穿线 、安装桥架 、后期安装、可包可点、工具齐全、人员充足 （限北京地区）介绍活茶水丰厚 ☎️  张 (诚信合作 微信同步,-- || -- || 水电工/电工
71,空调/管道/通风/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 焊工/铆工/钣金/钳工 || 焊工 || 装修木工/家具/吊顶/地板,专业承接/标书、设计出图/预结算/装饰、水电、暖通、土建、钢结构全专业/物业街道建委备案/竣工资料，需要联系 ️ 张工,-- || -- || 水电工/电工
72,亮化/市政照明 || 电工 || 空调/管道/通风/管网 || 水电工/电工,北京水电工突击队刚下来15/人电工10位水工5位，自带工具，结账痛快的老板联系，欢迎咨询/,-- || -- || 水电工/电工
73,空调/管道/通风/管网 || 水电工/电工 || 小工/杂工/拆除工/打磨/学徒 || 电工 || 亮化/市政照明,江苏盐城水电安装团队，以强电为主，后期安装，桥架，配管，穿线，放电缆，压箱子，上面板 有二十多人有需要的老板联系：,-- || -- || 水电工/电工
74,桥梁 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 小工/杂工/拆除工/打磨/学徒 || 钢筋工/加工/后台/翻样工,雄安新区有十几个钢筋工，几个力工，七八个木工找活，要求下班结账，联系电话同微信。,-- || 钢筋工/绑扎/翻样/后台 || 建筑木工/铝模/拆模/二次结构
75,普工 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工 || 装修木工/家具/吊顶/地板,大家好，本人专业承接家装小工装，吊顶，做柜子，隔墙，石膏板造型顶活好，速度快，做工细，价格从优，有意老板电我，以质量求生存，靠诚信求发展，多年木工经验，限合肥范围内。感谢群主提供平台！,-- || -- || 装修木工/家具/吊顶/地板
76,,徐州铜山区小别墅钢木化，木工带材料，大清包找有实力的老板,-- || -- || 装修木工/家具/吊顶/地板
77,空调/管道/通风/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 幕墙/门窗/干挂/塞缝/打胶 || 装修木工/家具/吊顶/地板,专业承接：家装 木工，水电，厂房办公楼轻钢龙骨隔断，吊顶，开关插座，灯具洁具，壁纸，硅藻泥，有需要的联系,-- || 水电工/电工 || 装修木工/家具/吊顶/地板
78,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,本人焊工活以结束，会手把二保，横焊，立焊，仰焊，多层多道焊接，可过2级探伤。，等离子，气割。各种各样的铁艺，可承接，可天工。人在乌鲁木齐新市区三宫六队，专业团队，听您的安排，诚信老板致电，小陈焊工。微信同号，,-- || -- || 焊工
79,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,人找活，在东莞，需要钢构电焊工的联系我 有几个人同微信,-- || 钢结构/打板/不锈钢/抗震支架 || 焊工
80,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,电气焊 二保焊 能上高有用人的老板联系我随时恭候你的电话,-- || -- || 焊工
81,混凝土/打爆模/拉毛挂网 || 普工 || 钢结构/打板/不锈钢/抗震支架 || 桥梁 || 焊工/铆工/钣金/钳工 || 隧道/涵洞 || 钢筋工/绑扎/前台 || 灌注桩钢筋工 || 加固/防护/护坡/边坡 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 钢筋工/加工/后台/翻样工 || 学徒工 || 焊工 || 架子工/爬架/拆架,小孙专业突击队，北京全区接单 人员充足 工种齐全，白班夜班均可 钢筋工，木工 架子工，电焊工，打灰，瓦工，小工清理导料，麻料，文明施工，打扫卫生，有需要的老板请联系,-- || 架子工/爬架/拆架 || 焊工
82,弱电/消防/水暖/开槽/通风 || 普工 || 空调/管道/通风/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 焊工/铆工/钣金/钳工 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 电工 || 亮化/市政照明 || 学徒工 || 焊工,浩雨水电突击帮工团队电话:前期预埋有30人（有焊工，自带焊机），后期有80人， 小工30人，（工具自带）（百人团队）承接范围:（郑州以及附近周边）承接内容:现主要承接前期预埋，后期二次配管，疏通排堵，后期穿线装灯穿引线，配盘芯，做桥架，压电缆，，上下水，给排水， 压力排水，消防水，等一切水电活。郑重承诺！ 人员年轻，服从管理！价格合理，质量可靠。（可包可点）（付款方式可谈）欢迎致电咨询:电话微信同号 老板们请存留电话，加个微信，（以备急用）（如有打扰，敬请谅解）团队承诺：2小时内如发现哪个工人干活不行，直接撵走，分文不取。,-- || 水电工/电工 || 焊工
83,弱电/消防/水暖/开槽/通风 || 塔吊/吊车司机/信号工/维修 || 空调/管道/通风/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 挖机/钩机/维修 || 吊篮安拆工/维修工 || 焊工/铆工/钣金/钳工 || 小工/杂工/拆除工/打磨/学徒 || 电工 || 亮化/市政照明 || 电梯/升降机司机/安装/维修 || 焊工,恒利水电帮工团队承接范围：郑州，新密，荥阳，上街，中牟，港区，新郑，周边地区现有人员前期加后期80人左右。工作内容: 前期预埋{有焊工}。旧楼改造。二次配管。疏通排堵。维修。穿线。装灯。穿引线。装面板。桥架，压箱心。地库装电棒。压力排水。放电缆。压电缆头。等一切消防水电活。人员年轻。服从管理。价格合理。质量可靠。一次合作终身朋友，需要帮忙的老板，请提前一天联系。手机号码微信同号【请加微信以后备用欢迎致电：团队承诺：2小时内如发现哪个工人干活不行，直接撵走，分文不取,-- || -- || 水电工/电工
84,瓦工/砌砖 || 泥工/抹灰,本人专业内墙抹灰长期在碧桂园干有需要的老板可以联系我限广西微信同号,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
85,瓦工/砌砖,找珠三角套房工区墙地砖活 周,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
86,,二次结构木工找活，6个人随时可以进场，行程码不带星号。陈师傅。此信息长期有效。请说在建筑用工平台看见的。,-- || -- || 建筑木工/铝模/拆模/二次结构
87,桥梁 || 混凝土/打爆模/拉毛挂网 || 隧道/涵洞 || 架子工/爬架/拆架,现有4人找内外墙拉毛挂网可以马上进场开工有需要的老板请来电微信同号方量越大越好,-- || 混凝土/打爆模/拉毛挂网 || 外墙/吊篮/保温/高空作业
88,瓦工/砌砖 || 搬运工,专业上材料，ALC格墙板，泡沫砖，地板砖，拉成品砂浆，内外墙，有介绍量大给三仟红包，只做包工，自带工具地方不限要求量大，随时可以进，如有需要的老板联系:杨,-- || -- || 外墙/吊篮/保温/高空作业
89,普工 || 搬运工 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 瓦工/砌砖 || 学徒工,小工找活，专业上材料，ALC格墙板，泡沫砖，地板砖，拉成品砂浆，内外墙，只做包工，自带工具地方不限要求量大，随时可以进，如有需要的老板联系杨,-- || -- || 小工/杂工/拆除工/打磨/学徒
90,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,哪个老板需要用架子工人的提前联系，我人员年轻干活安全，搭架子，保质量，单价靠谱，欢迎各位老总，老板的来电一起合作永久朋友，包工点工都可以，合作愉快，共同发财，人在郑州找活,-- || -- || 架子工/爬架/拆架
91,电工 || 塔吊/吊车司机/信号工/维修 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 挖机/钩机/维修 || 吊篮安拆工/维修工 || 焊工/铆工/钣金/钳工 || 弱电/消防/水暖/开槽/通风 || 亮化/市政照明 || 电梯/升降机司机/安装/维修 || 焊工,电工团队找活，强弱电，上下水，焊工，有证，做管，穿线，桥架，线路维修，灯具安装，电箱，配电柜，经验丰富，工作认真，需要人的联系，    北京,-- || 焊工 || 弱电/消防/水暖/开槽/通风
