content,label
本公司专业承接 各种环氧树脂地坪漆，薄涂（平涂），自流平，防静电自流平，防腐及重防腐地坪漆，水泥自流平，防滑地平漆，丙烯酸篮球场， PVC地胶板，羽毛球，医院，颗粒跑道，地下车库，厂房，旧厂房翻新整体打磨处理，包工包料，可包清工，价格低，质量有保，（介绍有提成）欢迎：18811874223,1
专业承接地坪漆系列🚧厂房车间办公室地坪漆:①滚涂 ②自流平③防静电自流平④水泥自流平⑤防腐地坪 ⑥固化剂地坪 室外学校:⑦丙烯酸球场 ⑧硅PU 地下室:⑨微珠超耐磨 ⑩防滑地坪漆等类型合作热线：13510878843(免费提供报价单以及检测报告)(介绍有返点),1
我司专业承接：各种环氧地坪漆工程：【环氧薄涂】【环氧自流平】【防静电自流平】【防腐地坪漆】【硬化地坪】【水泥自流平】【车库微珠防滑地坪】【聚氨酯地坪】【彩砂自流平】【丙烯酸篮球场】【硅Pu球场】等一系列地坪工程！☎️ 13066931306《介绍返点》,1
本公司专业承接 各种环氧树脂地坪漆，薄涂（平涂），自流平，防静电自流平，防腐及重防腐地坪漆，水泥自流平，防滑地平漆，丙烯酸篮球场，颗粒跑道，地下车库，厂房，旧厂房翻新整体打磨处理，质量有保，欢迎来电洽谈：13129581729微信同号欢迎咨询,1
💪💪专业承接：各种环氧树脂地坪漆工程：薄涂，自流平，防静电自流平，防腐地坪漆，彩砂自流平，水泥自流平，室外蓝球场，硅Pu，固化地坪，车库微珠超耐磨，橘皮地坪，防滑坡道等项目！联系电话 19866613776 《介绍有提成》,1
专业承接发泡回填，发泡水泥、发泡混凝土、泡沫混凝土，各种大小机器设备都有，一个卫生间不嫌少，几万立方不嫌多，有需要欢迎骚扰电话13986242345,1
#专业承接轻质砖隔墙【加气块】《胶泥》（专业团队）承包酒店、医院、KTV、办公室、美容院、健身房、厂房等各种工装装修隔墙，。给您最优惠的价格，保证最好的质量。（介绍有提成）欢迎来电咨询15926244264小石，微信同号，感谢群主平台，如有打扰请见谅！谢谢！换武汉装修群！,1
专业承接：自流平、、水泥自流平、家装，工装，各种环氧地坪，蓝球场、羽毛球场、办公室、地下车库，包工包料，质量优（介绍有提成）☎️ 欢迎致电15927005818（微信同号）（换武汉装修群），谢谢群主提供平台,1
"👉 👉本公司承接各种环氧地坪漆工程🇨🇳

🔥薄涂，自流平，

🔥防静电自流平

🔥防腐，重防腐地坪漆，

🔥彩砂自流平，

🔥水泥自流平，

🔥硅PU篮球场，丙烯酸蓝球场，羽毛球场，

🔥 防滑地坪漆

🔥超耐磨地坪漆，

厂房及办公室地面翻新等工程、15112337883（介绍有提成）价格优惠，质量保证，售后无忧。",1
"专业承接🚧 ：

各种环氧树脂地坪漆工程：

环氧薄涂★砂浆薄涂★

环氧自流平★砂浆自流平★

水泥自流平★固化地坪★

防静电地坪★防腐地坪★

篮球场，厂房，室外丙烯酸

👉联系电话18824571477",1
小马。专业。拆除。砸墙，抠地面儿。开门口，窗户口。大锯切割。扣线槽。上下水儿。扒平方。拆厂房。砸楼梯。扣水泥柱子。土建承包。各种拆除。电话17678614023，微信同步。,1
"专业承接轻质砖隔墙【加气块】《胶泥》

（专业团队）承包酒店、医院、KTV、办公室、美容院、健身房、厂房等各种工装装修隔墙，。给您最优惠的价格，保证最好的质量。（介绍有提成）欢迎来电咨询15926244264小石，微信同号，感谢群主平台，如有打扰请见谅！谢谢！换武汉装修群！",1
武汉墙面玻璃钻孔空调孔、排气孔、水管孔、各种大孔、深孔、剪力墙混泥土门口、阳台、窗户，楼梯、楼板、箱涵、支撑梁、桥梁等静力切割拆除15827569933,1
各位老板好！我这有建筑方面的各种人才，泥瓦工。木工。钢筋工等等，另外有，男女小工多名，专干，短期临时日结工资，在郑州。新乡。中牟县。开封，等地干活，不住工地，我们有车，哪位老板需要请联系，13083813156@13781904766,1
木工找活，郑州还有八个木工闲着，想在郑州周边找点工或点包的木工活，有车库，女儿墙，拆平板，后浇带，门厅水池，电缆沟，等小型木工活都可点可包，只要钱现，小活都干，欢迎来电15837673951,1
"郑州周边 .有泥工师傅24人，垒砖胎模。 
白班木工70人，夜班60人，楼梯图纸 样样精通。电动工具齐全，钢筋工40人 。 
小工30本人承诺两个小时内干活不行分文不收 
郑州，荥阳，巩义，洛阳，许昌，长葛，中牟，新郑，新密，登封，焦作，新乡，南阳，平顶山，平原新区， 
常年招收木工。 联系人 朱长海15139741426另有住工地木工10多人",1
天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，郭师傅，电话15222482844。13602184048,1
专业拆砸，家装工装，学校洗浴，饭店，等装修前的一切拆出工作，铲墙皮，水锯切割混泥土，木工，钢筋工等，垃圾清运，服务全天津，价格合理让你省心，联系电话18920624776,1
太原市附近找二次结构木工活，13293749758,1
专业承接劳务，主要做道路水稳沥青人工机械摊铺，自来水排水电力暖气地下外网，路沿石安装路面石材铺装，绿化管道！期待与有需要的老板公司合作，乌鲁木齐及周边优先,1
木工找活做专业承接轻钢龙骨石膏板隔断墙，吊顶，有活老板打电话15222135980微信同步,1
明天闲着木工师傅一车，干活都是多年的老手用木工的老板早联系，电话13774935130。,1
明天临洮有，有闲木工五人有要的联系18293256425,1
"建筑工人找活: 
有大批量的木工随时可以上工地为各位老板服务， 
建筑木工，可包平，可点工，可单项， 
木工承包，高层，铝模，厂房， 地库 学校 框架楼 方梁方柱。。有需要的老板与我联系15948101171",1
"木工找活做:
工具齐，最好家装包工做，13691254123",1
"（木工师傅找活）

广州增城工地有木工师傅包工班组16人结账，珠海有木工师傅13人找活干，惠州有木工师傅21人待业，另外有钢筋工30多人，随时可以出发，工具齐全，都有电动扳手，有精通图纸的带班人员，限广东省的包工《包工如下，车库无梁板，拆模，地下室，附楼，车库等各个工地都可以》点包，点工突击，白班，夜班，长短期抢红期的工地，随时可以出发，有需要用人的各个工地公司老总及老板随时可以联系我18024677060感谢关照",1
"【木工师傅找活】

借群主平台，深圳福田有木工师傅11人结帐，广州番禺工地有主体木工师傅16人结帐，另外有钢筋工30人待业，随时可以进场，有抢地下室，副楼，人防，电梯井，厂房，学校，地铁，桥梁，别墅，斜屋面都可以干，自带电动扳手，技术过硬，广东省内需要木工师傅的老板联系：姚师傅15917731914一次合作终身是朋友！",1
找活公告：工程老板们，各位建筑木工同行工友们，有什么好的包工业务（木铝）副楼 学校 厂房 地铁 护坡 涵洞 ，广东省内求合作，请介绍 包工 计时工都可以 本人可以承包亲临做工地 班组甚多可以承包,1
明天闲一车木工，有需要的老板电连15824178961,1
明天还有一车架工，一车钢筋工，一车木工成都周边有需要的朋友请来电耶13689060987,1
正式大量接单！全部绿码出行，工人精明能干，钢筋工木工，小工瓦工、打灰都可以！欢迎新老客户洽谈合作电话 13503409850、点工，包工都能干，夜班白班都有人,1
本人长年承接木工活，地下室，水池子，基础，方梁方柱，标准层，办公楼，厂房，铝模，地铁，拆模，倒料，屋里二次改造，各种零活等，拥有最强木工团队，专业的技术，一次合作包你满意，电话13214481167,1
晚上还有三车夜班木工师傅可包可点 楼梯图纸都会 年龄都在22到35之间 人员全部板扎 打头阵或者长期夜班完全没有问题 需要的老板联系15184483025,1
散人木工一个，有电扳，有需要的电话联系18190356109李木匠。点包最好，可长期跟车人在机头街上。,1
有一车现成的木匠全师傅，会图纸，工具齐全，电掰七把，有需要的老板安排一下，15378643595,1
明天加一车木匠，熟人优先出工不力勿扰,1
太原市附近找二次结构木工活，13293749758,1
明天一车木工找活 陈红中18763065203,1
明天两车木工找活工具齐全,1
天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，郭师傅，电话15222482844。13602184048,1
木工找活 ，需要的老板联系13416242837,1
有用大工小工，木工。防水工，保温，砌砖，累石头。铺地砖，防腐木，的老板联系我，专业队伍，一次合作终身朋友13293150191,1
明天一个木工师傅找活主体二次结构都可以可以单干有电动工具17086180983王,1
包活以完，有几个木工找活，工具齐全，人员年轻，点工。点包，18453064163,1
明天德州奥特莱斯做二次结构木工，俩人，13869226232,1
室内装修木工2个人，手艺十几年，干活还凑合，明天闲着，需要的请联系电话微信18055647717，捣江湖绕行，包清工点工都干，谢谢,1
明天一个木工找活干15550200406,1
明天一车木工找话电动工具齐全。可包，可点13589405162,1
明天一车木工找明天的活，电动工具齐全。15054325917,1
明天一到两个人找活，工具齐全。听从指挥。有用人的老板请打我的电话，13361090548,1
明天还有一车人找活，电话15853711986，15664452552,1
临时加两个好手年轻木工活好干，五点半前有效只限小站鱼泡网勿扰能来的联系:18831088225,1
重庆木工班组，找活找活，长年干包工，需要的老板带走，15923855568,1
明一人找木工活17660647868,1
夜班钢筋工还有还有四五个人用人老板请致电18032406085,1
夜班钢筋工找活 前后台均可 用人致电17333482561,1
明天石家庄市里还有2个钢筋工找活！前后台全活！用人的给我打电话18733121039！现金日结！鱼泡网无效！非诚勿扰！,1
明天西三环需要专业钢筋后台制作大小料人员5/6人15830645252鱼泡网无效,1
石家庄市里还有一个钢筋工找活！用人给我打电话18733121039,1
明天石家庄用钢筋工好手7/8个人，13700314195非好手勿扰,1
明天还有10来个钢筋工好手，前后台都可以，都能独立操作需要的联系我13832170658,1
明天石家庄市里还有2个钢筋工找活！前后台全活！用人的给我打电话18733121039！现金日结！鱼泡网无效！非诚勿扰！,1
明天还有一车钢筋工好手，用人联系我15613183057,1
明天还有5.6钢筋好手有需要的联系15333239110,1
明天有5－6个专业后台钢筋工用人联系15226585684,1
明天打灰闲下来3车钢筋工，包工日工都行13932109457,1
明天还有7/8个钢筋工好手，前后台都能独立操作，需要的联系13832170658,1
明天还有两车钢筋工好手。 18232178228 用人老板请联系,1
明天还有9到10左右钢筋工高手用人请致电陈13930103765,1
夜班钢筋工还有两车人 用人致电17333482561,1
明天还有一车钢筋工好手，用人联系我15613183057都能独立操作，精通图纸,1
明天还有5个钢筋工，用人的呼13331387220,1
夜班钢筋工找活，用人☎️ 18712955858,1
夜班钢筋工还有一车六七个，用人联系，15130099326,1
夜班钢筋工还有六七个人用人老板请致电18032406085,1
明天白班还有一车钢筋好手有需要的联系我15333239110,1
夜班钢筋工找活 前后台均可 用人致电17333482561,1
明天还有一车钢筋工有需要的联系我15028114908,1
明天还有一车钢筋工好手有需要老板同行联系18032203212,1
明天下来一车钢筋工好手，有用人老板电话联系15830199744,1
"常年承接钢筋翻样， 远程翻样。



有需要的老板以及公司，同行忙不过来请联系，打听价格勿扰。



包平米为主，基础可以住现场，包月，工资月开。



简历:手工翻样十七年/电脑翻样九年。



有需要学习E筋翻样软件一对一培训教学。



联系电话17088396336， 接远程钢筋翻样疫情原因优惠，非诚勿扰，微商绕行，微信行同号。【月末可去现场】

感谢群主平台🙏🙏🙏",1
"本团队每天有钢筋工熟手师傅30多个，人员年轻，干活实在，服从管理。 

前台绑扎，后台下料，打环筋，套丝，电焊。

保证个个能单干，包工图纸精通，保证验过，

夜班白班随时候命，

点工如果发现干活不行的两个小时清场不要一分钱

木工专业合作师傅三车，精通图纸，工具齐全，个个精英，另有打灰人员人。

干突击我们更专业，邯郸100公里24小时接单。13451424016王永彬。
",1
明天5至6位钢筋工带车找活，限平阴，马山，长清，用的老板连系。15168890182。,1
本人承接钢筋翻样，可住现场，有需要的和我联系电话17604511965,1
天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，郭师傅，电话15222482844。13602184048,1
本人专业承包重庆成都贵州范围以及周边钢筋制作加工，可自带机器设备，也可以垫资生活费，有钢筋制作包出来的老板联系我，随时可以进场，感谢同行介绍，介绍成功大红包重谢，联系方式微信同号，18323081058孙,1
找活 限内蒙古 重庆。湖南。云南 和山东方向有没有需要钢筋工的老板 本人手里有钢筋工 20到40人 人员年轻 出手快 不喝酒 不闹事 听话 都是四川人 （长干）有需要的随时联系本人 陈16632253731,1
一车年轻钢筋工，懂图纸，出活快，可包可点，找今天中班晚班，有用人的老板大哥请联系15953536764,1
"郑州周边 .有泥工师傅24人，垒砖胎模。



白班木工70人，夜班60人，楼梯图纸 样样精通。电动工具齐全，钢筋工40人 。

小工30本人承诺两个小时内干活不行分文不收

郑州，荥阳，巩义，洛阳，许昌，长葛，中牟，新郑，新密，登封，焦作，新乡，南阳，平顶山，平原新区，

常年招收木工。 联系人 朱长海15139741426另有住工地木工10多人",1
找活钢筋前后台班组有20年经验有需要的老板联系18724111096,1
钢筋工找活，人员充足。保定，荣城，雄县。全有工人。白班/夜班都上。包工日工都行。一次合作，终身朋友。欢迎老板来电联系17701472345,1
明天闲下一车钢筋工，赵县、元氏、栾城、高邑、南三环、南二环南边优先，有需要用人的联系13832170658,1
明天闲下一车钢筋工，赵县、元氏、栾城、高邑优先，有需要用人的联系17743768780,1
明天石家庄市里还有2个钢筋工找活！前后台全活！用人的给我打电话18733121039！现金日结！鱼泡网无效！非诚勿扰！,1
明天还有8个钢筋工好手，用人联系我15613183057,1
明天还有，3.4个，钢筋工，谁用，18033750205,1
明天闲下一车钢筋工，赵县、元氏、栾城、高邑-南三环，石家庄南部地区优先，有需要用人的联系15373892967,1
明天下来一车钢筋绑扎好手，有用的老板与同行联系15131461262,1
今晚夜班钢筋工还有两车人 用人致电17333482561,1
夜班钢筋工找活，用人☎️ 15131438336,1
明天石家庄市内或二环周边还有钢筋工好手7/8个人，可包可日13700314195,1
明天石家庄市里还有一个钢筋工找活！用人给我打电话18733121039！鱼泡网无效！非诚勿扰！,1
需要钢筋工老板联系本人疫情原因好久没上班了联系电话15760293246,1
需要钢筋工的老板联系我暗号15760293246,1
明天石家庄市内或二环周边还有钢筋工好手7/8个人，可包可日13700314195,1
承接远程钢筋翻样，钢筋算量，模板粘模面积计算，工程预结算，计价，联系电话18695923003（微信同号）,1
哪位老板在乌鲁木齐及周边有高层钢筋绑扎需要外包的活，本人有专业干高层的兄弟班组，干活老板放心又省心，现工程已完活，随时可以进场，有需要的老板欢迎来电13579865459余(同微),1
明天有开封本地钢筋工15人找活，有需要的老板请联系。13027642368,1
需要钢筋带班和工人的老板联系我15542695436,1
今晚夜班，明天闲三车钢筋工，人年轻干活麻利，都是自己直属队汉中，四川人，各位老板需要人联系我18329467683方崇兵,1
本人长‬年承接，四川省及周边的钢筋活，地下室、水池子、标准层、办公楼、厂房、地铁、地面，管廊、房屋二改次‬造，我拥们‬有专业的团队。可突击，包面，包平，包吨，一次合作终身朋友。15882092272叶伟,1
4/5个钢筋工师傅，找明天的活，要求日结13333835100,1
明天开封，通许，尉氏方向还有两车钢筋工有需要帮忙的请速度联系我17337872685,1
"郑州劳务派遣

正式大量接单！全部绿码出行，工人精明能干，钢筋工木工，小工瓦工、打灰都可以！欢迎新老客户洽谈合作。电话 13503409850、点工，包工都能干，夜班白班都有人

工资日结，郑州方圆百里都能准时到达",1
专业做各种二构木工活十多年如今找活，随时可进场，木工师傅，钢筋绑扎，小工，认真做事，用心待人，努力工作，服从管理。工资利索可长期合作，只要一次相交永远是友，地域不限，有开工的请提前联系财富热线15760942538微信同号。欢迎各位老板公司来电！,1
本团队长年在京津冀承接钢筋后台制作，前台绑扎，高层框架，框剪，承接木工，支模拆模清理，人员充足，也可在天津周边地区突击，钢筋工，架子工，木工，瓦工，小工，欢迎各位老板来电17526605734小郭15732361666小胡,1
本人帮工队，在北京有钢筋工，木工，瓦工，架子工，小工，人员年轻出活快，有用的老板，公司，劳务公司，有用的老总提前联系电话13520754776 ，只限北京周边，谢谢合作共赢！,1
保定易县小李钢筋突击队接单中 人员充足 自带工具 价格合理 服务热线18431293170,1
"小王专业钢筋队，承接民房别墅，人员年轻，干活规整，自带设备，让老板无忧，主家满意，服务一流，质量一流。

15846608518 接单中",1
本人承接钢筋翻样，从业十多年，各类大小工程经验丰富，技术实力够硬。最重要的是便宜、便宜、便宜！！！,1
明天荣东下来20多名钢筋工好手，包工点工均可，用人老板电话联系我15733486852,1
承接郑州周边的工地植筋，二次钢筋，住宅，公寓，优先，13033786991黄,1
"接远程钢筋翻样（抽料）。 模板算量。混凝土算量。排布图，料单清晰易懂。有需要翻样的老板，联系我，一单一结

价格合理 一直接单

电话13483087000",1
对外承接所有钢筋工程，不限城市，欢迎各位老总来电洽谈合作：18168135726微信同号,1
广东范围有需要钢筋后台制作的老板联系，工地完工，人员充足,1
一群本地钢筋工找活，有需要的联系我15737855552,1
广联达e筋软件：承接钢筋远程翻样，钢筋对量，钢筋提量，钢筋报价，钢筋展测.钢筋翻样打短，您翻不过来，我帮你；价格绝对合理，定金必须有；框架结构优先；另接木工模板算量，砼算量，市政市政园林；等，联系电话；18443308868.15676736789.微信18443308868；欢迎各位老板上车,1
临时通知明天还有一车钢筋工好手，用人联系我15613183057,1
明天闲下一车钢筋工，赵县、元氏、栾城、高邑、南三环、南二环南边优先，有需要用人的联系15176889383（鱼泡网勿扰谢谢！）,1
石家庄南部下来8个钢筋工熟练工，找石家庄南部活，用人老板或同行打电话18031160231马英立,1
明天还有一车钢筋工好手，包工优先，有用人老板大电话15830199744,1
明天临时变动还有一车钢筋好手有需要的联系我15373892967,1
明天一车钢筋工找活儿，15931176743,1
明天还有5/6个钢筋工好手有用的老板与同行联系15131461262,1
明天正定加2/3个钢筋工好手，有空联系我15613183057,1
临时变动明天还有一车年轻钢筋工好手，都能独立操作！干活不行两小时内不要钱，用人老板丶同行请联系13313035323,1
明天下来一车钢筋绑扎好手，干活不行的俩小时免费有用的老板与同行联系18333137505,1
明天槁城，这里还有五个钢筋工，谁需要的领走13231162292,1
朋天有钢筋工一车有需要的车连系13731171778,1
"明天还有两车钢筋工前台绑扎后台制作好手有需要的老板与同行联系15131461262韩
",1
找活，找活，焊钢筋笼的13660455552一个人，我广东这边，谢谢老板,1
要钢筋工么，我要找活，我在库尔勒，阿克苏，喀什，多可以,1
明天还有一车钢筋工好手，都能独立操作！用人老板丶同行请联系15032744950,1
明天还有一车钢筋工，需要的带走，都能独立操作！13273446531老孟,1
明天还有一车钢筋工好手，都能独立操作！用人老板丶同行请联系13931169125,1
明天还有一车钢筋工好手，都能独立操作！用人老板丶同行请联系13832170658,1
本人郑州有一队30个熟手钢筋工，会看图纸，前台天工，散包点包，后台套丝下料调直通透，欢迎新老顾客来电15238389860,1
哪位老板在乌鲁木齐及周边有高层钢筋绑扎需要外包的活，本人有专业干高层的兄弟班组，干活老板放心又省心，现工程已完活，随时可以进场，有需要的老板欢迎来电13579865459余(同微),1
本团队，专业承包风电基础清包工，钢筋制作与绑扎，钢筋笼制作，混凝土浇筑，锚栓安装，二次灌浆等，有活靠谱的老总联系我，15369741888，随时都可以进场。,1
"各位老板好，有需要用钢筋车丝的人员吗，机器各方面都会维修，有自己的队伍也可以只做工
",1
"今晚有4车钢筋工夜班人员，济宁本地老师，前后台全活，人员年轻，包工优先！人员可多可少，有需要的老板朋友联系：18595219557

-16734435999",1
天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，郭师傅，电话15222482844。13602184048,1
本人承接钢筋翻样，同时也接受钢筋承包，有需要的和我联系电话18604457287,1
夜班钢筋工还有五六个人 前后台均可 用人致电17333482561,1
找一个有架工证的兄弟伙一起去外省干包公，搭几栋厂房架子，有驾驶证的更好，没有也没事，吃得苦，工作认真踏实的请联系我17345305160小文，明天从成都出发,1
明天，多名架子工大工找活联系电话153 0543 7447,1
承接山东省内，搭建钢管外架，拆除脚手架 ，木工内架，盘扣架，装修架等，专业架子工团队，人员充足，.包工优先，需要人手的老板下单，请联系，罗勇15264200763,1
京津冀。雄安新区，保定地区，用人老板请联系诚信架子工突击队人员充足，钢挑架。爬架，吊架，接受您来随时骚扰，电话15533239108人员齐全，带有核酸，诚信架子工突击队，价格公道，绝对不高，找活。,1
本人手把焊工，晚上也干活，有证，找活，二保焊，等离子切割，焊阁楼，阳光房，方管架子，护栏.彩钢棚子，也干彩钢板之类的活，暖气管道，消防管道，楼梯，小型钢结构，，可包清工，也干天工，有用人的老板，请联系我，18733655519，，，在北京,1
本人帮工队，在北京有钢筋工，木工，瓦工，架子工，小工，人员年轻出活快，有用的老板，公司，劳务公司，有用的老总提前联系电话13520754776 ，只限北京周边，谢谢合作共赢！,1
江苏南通公寓楼框架结构地下一层，地上18层，活儿简单，公司直招工公司直招工人，父子兵，夫妻兵，小组计件，能者多劳，劳者多得，木工，架子工和混凝土工等，班组和勿扰，踏实肯干，不闹事，身体健康，四川人优先，有诚意联系，长期跟公司干可以买社保！许总18932882626,1
找活，天津土建突击队，开始接单了！钢筋工，木工，架子工，瓦工，植筋，小工，二次结构，现场看图，翻样，联系人，郭师傅，电话15222482844。13602184048,1
本人有专业力工团队，承接长春、九台，德惠周边力工活，专业倒料，组架子，绿化，打扫卫生，各种力工零活 ，工人干活听话，队伍年轻，价格合理，德惠、长春周边有用力工的老板请联系我15944106592,1
专业拆模团队，专业拆模大工，小工出料，还有叉车，组架子，地下室，群房子，炮楼子，各种拆模都能干，长春周边各种拆除，放墙上料，线钩，开槽，上砖，电搞，都能干，有用的老板联系电话13756474707微信电话同步,1
承接北京外墙保温，新楼，旧楼翻新，吊兰，架子都可以，腻子，真石漆，弹图，质感漆，涂料，班组30多人有需要的老板们，欢迎来电，合作愉快17777815683只做北京的活。,1
哪个老板需要用架子工人的提前联系，我15599546921人员年轻干活安全，搭架子，保质量，单价靠谱，欢迎各位老总，老板的来电19139716032一起合作永久朋友，包工点工都可以，合作愉快，共同发财，人在郑州找活,1
"本人团队5人
架子师傅
谢谢各老板来电
号码15185512260",1
"明天， 郑州，龙湖马庄
还有架子工4个大工 2个小工吃苦耐劳 可包可点 有车有需要的老板联系 15138506156",1
"专业承接

内 外架 搭设 拆除

爬架组装 提升 拆除



本人专业架工团队。主打突击和小活儿。郑州地区及周边



微信同步。

15138506156小刘



一次合作终生朋友。期待与您的合作。同时欢迎架子好手的加盟。",1
"【郑州内外架】



承接范围:搭外架，内架，装修架子，盘扣架，室外电梯架，搭拆各种架子，包工计件，点工都没有问题。

组装:爬架。拆爬架，点工，包工都可以



秉承着以达到各位老板满意的原则。一次合作，终生难忘。

河南省内都可以去，需要的老总打电话联系。18911412833微信同步。",1
本人帮工队，在北京有钢筋工，木工，瓦工，架子工，小工，人员年轻出活快，有用的老板，公司，劳务公司，有用的老总提前联系电话13520754776 ，只限北京周边，谢谢合作共赢！,1
山东菏泽，潍坊周边有架子活吗？我内架，外架，盘扣架，装修架，全会干。需要用人老板打电话15265642366,1
本人手把焊工，晚上也干活，有证，找活，二保焊，等离子切割，焊阁楼，阳光房，方管架子，护栏.彩钢棚子，也干彩钢板之类的活，暖气管道，消防管道，楼梯，小型钢结构，，可包清工，也干天工，有用人的老板，请联系我，18733655519，，，在北京,1
招工，河北唐山曹飞店的架子工师傅，若干名，电话15543772929,1
本人有专业力工团队，承接长春、德惠周边力工活，专业倒料，组架子，绿化，打扫卫生，各种力工零活 ，工人干活听话，队伍年轻，价格合理，德惠、长春周边有用力工的老板请联系我17549549395,1
本人承接拆架子拆模倒料，不怕面积大，外地也可以去，15843030035微同步,1
四川成都要用人的公司，老板联系我，人员充足，欢迎骚扰。架子工突击)架子有需要的公司或者老板联系我！电话微信同号18582898680注成都周边,1
我们自己有车干活不偷懒，实打实的干呢，需要小工的老板给我们打电话，我们30个人。找活干。16699062708,1
小工找活，明天有时间，需要的老板请联15081736615微信同号，住横街子，可干一切杂活,1
"郑州 小付 劳务派遣队🌹

专业泥瓦工师傅20多人，精通于各种砌砖，内外粉墙，铺透水砖，石材，打地坪等👈

年轻小工30多人，专业拆除，背楼，整理钢管 方木，挖土，干杂活，绿化施工，清垃圾等各种杂活👈

都是自己工人，年轻精干，工具齐全！不存在滥竽充数之人，

👉白班 夜班人员充足！

郑州及周边地区有需要用人的老板请致电，

电话 13253534160

本信息真实可靠

谢谢群主提供的平台",1
重要提示。。疫情期间工人实名制进场。。。郑州明天还有钢筋工30人.木工30人，精干小工50名，墙柱 框架车库 梁 板 钢筋活木工活都可以散包，保质保量，精通图纸，专业钢筋木工散包团队。要求工资日结。24小时合作电话15836421112.～18838213961.微信同号,1
需要小工的联系，18699394459,1
本人专业，开槽子，砸墙、砸卫生间、厨房、墙砖、地砖、砸混凝土地面、砸混凝土梁、砸混凝土柱子、开门洞、、拆吊顶和墙面、铲墙皮、楼上搬运、清洁装修垃级、有需要小工请联系我、联系电话☎️18109990809,1
"团队专业承接改水改电，防水，砌砖，抹灰，铲墙皮，开槽，家政，铺地暖，大小型砸墙、砸梁，砸卫生间，拆除，土建，拆吊顶和墙面、清洁装修垃级、保洁，维修施工，上料，安排小工，美缝，喷乳胶漆，随叫随到，价格实惠、联系电话:

刘18399079936 全屋智能装修



刘15999460185 大面积砌墙，防水",1
群里老板需要小工的联系18139547532,1
本人有大工5个大工2-3个小工，大工500-小工260有需要的打电话15569539601,1
"一车小工好手，找活
一车大小工好手磊抹镶都行18522884065",1
现有小工四人 找明天白班活 容西不去 最好容东 四人都有核酸 联 13400321483,1
小工多名找活明天有时间，协助安门窗抬玻璃干杂活，有需要的联系我15297533129,1
"明天开始🈶 时间，大工中工小工多人团队

安装

断桥铝，

阳光房，

维修，连拆带装，可包，可点

有车有工具

用人的老板联系15284204110

微信同号",1
"【找活，找活，找活】

小工明天找活，可协助拆卸窗户，抬大块玻璃，可干一切杂活，能开黄牌车，13012102700微信号同步，",1
安装小工找活。明天有时间。多人团队。可干一切杂活。住张家店？13784258175,1
小工找活，今天明天有时间，需要的老板请联15081736615微信同号，住横街子，可干一切杂活,1
找活，明天郑州四个外架工两个小工带车用人老板联系。13849057348,1
找活，明天龙湖岀发一个小工带辆七座车，有需要的请联系18703809610,1
明天还有两个年轻男小工，核算已做好，有用人老板联系15138977525,1
